n1,n2,n3,n4,n5,n6,n7
44,13,5,2,28,6,43
13,9,10,24,33,38,28
25,37,2,13,28,8,3
40,24,38,8,28,35,5
14,43,12,25,3,4,17
24,8,35,43,10,23,37
45,4,12,38,33,24,22
29,35,12,34,17,5,27
11,27,5,29,14,36,44
16,35,34,31,2,19,37
27,30,22,13,14,38,2
43,26,19,25,27,2,28
34,21,2,33,6,18,30
7,38,1,10,2,9,42
1,14,39,6,5,20,22
14,38,8,36,23,39,13
19,8,4,18,44,39,41
4,40,39,34,27,8,13
14,18,20,28,23,36,33
37,22,33,36,27,2,14
19,33,6,9,18,25,40
8,16,41,44,11,7,35
21,8,40,25,39,44,18
17,27,18,10,19,23,35
40,18,5,13,23,45,3
11,12,5,27,4,24,28
8,16,30,43,25,42,15
35,30,8,13,40,6,21
2,32,45,16,17,39,40
1,19,2,6,42,16,9
16,15,34,28,9,21,24
13,45,39,30,7,41,25
26,7,35,1,19,27,16
7,3,6,39,21,20,13
13,14,26,33,40,43,15
22,9,45,31,2,25,12
42,7,1,12,23,15,11
44,38,31,43,19,28,1
21,17,8,27,31,24,15
23,34,1,4,2,31,8
18,35,21,15,32,44,6
41,39,20,19,9,12,13
27,11,12,20,4,10,38
11,13,25,26,29,33,32
7,6,16,15,31,20,26
3,16,22,37,38,44,23
7,22,18,31,34,24,6
22,32,15,25,23,6,40
15,26,21,14,18,35,23
43,18,21,11,36,37,12
8,17,18,24,39,45,32
15,24,31,32,33,40,13
17,5,23,13,36,28,8
1,4,16,26,40,41,31
9,43,24,45,41,2,30
23,16,21,24,30,5,29
28,37,13,43,19,38,4
42,3,33,41,22,21,20
41,3,31,4,11,7,35
12,26,29,11,16,44,18
3,13,15,40,41,44,20
26,6,38,27,5,39,1
21,31,16,26,36,43,6
7,37,38,39,40,44,18
16,31,14,3,7,40,39
43,40,19,14,39,10,23
36,32,25,8,19,28,37
7,29,27,19,42,18,45
23,39,4,9,33,44,14
3,20,38,27,12,2,40
9,6,37,11,5,15,26
3,38,42,5,19,8,20
10,20,33,36,41,44,5
44,5,6,38,17,11,13
2,4,6,11,17,28,16
15,17,25,37,42,43,13
12,14,15,24,27,32,3
7,8,20,29,33,38,9
11,18,26,27,40,41,25
35,10,13,7,31,9,24
28,31,45,21,8,36,43
44,17,7,29,10,33,5
9,10,31,14,25,27,11
1,45,11,18,15,8,7
39,17,45,1,34,8,27
36,41,24,12,15,44,42
4,5,25,12,37,6,45
3,26,5,7,14,34,35
4,29,42,19,32,10,30
27,21,44,43,24,29,7
35,27,17,23,43,38,2
20,27,28,13,6,40,15
11,39,17,15,25,1,40
12,28,40,38,6,7,18
7,15,43,12,25,24,13
13,42,1,8,28,10,45
5,35,22,34,23,15,2
36,17,19,38,30,7,34
34,38,25,24,33,39,43
45,15,35,43,27,33,16
15,11,36,32,14,3,44
34,28,6,42,11,1,30
33,7,43,15,20,25,12
34,38,26,4,18,33,14
1,38,16,34,18,7,21
2,8,11,39,33,5,31
21,33,3,37,11,13,18
5,21,8,16,29,4,3
29,11,30,23,28,44,13
14,36,38,16,10,3,35
26,24,16,3,13,29,9
44,31,10,33,41,28,21
4,33,1,8,42,23,45
45,28,22,17,6,1,23
4,10,28,30,3,6,37
24,12,19,44,2,39,35
19,16,2,45,34,10,1
39,44,30,18,36,10,32
4,24,33,3,9,25,10
24,37,11,35,15,45,42
31,33,30,17,45,20,19
23,19,2,5,18,15,44
7,22,37,1,33,40,20
27,33,7,44,2,41,10
13,29,2,6,30,16,21
32,19,2,25,11,28,44
32,39,20,23,11,4,40
8,19,4,43,13,20,26
34,12,29,36,1,37,41
43,41,35,28,1,44,31
21,39,12,43,30,14,45
20,35,36,30,33,44,22
37,2,33,35,8,41,14
6,43,7,21,19,41,38
1,11,23,21,44,34,24
31,8,7,10,21,19,20
10,6,37,3,30,34,36
45,17,21,26,36,11,16
10,4,14,15,22,18,39
42,45,7,25,2,13,39
32,27,5,4,17,2,43
24,32,35,40,11,33,13
45,37,41,16,38,6,18
13,37,5,27,10,41,4
17,27,21,18,11,2,6
15,18,27,24,41,13,11
28,27,43,38,23,42,36
29,34,7,35,33,22,30
8,9,19,16,4,17,31
21,27,44,45,34,5,16
8,10,36,37,40,13,6
41,19,21,34,44,15,10
34,10,21,41,15,18,43
23,12,3,1,2,9,10
45,42,33,36,12,3,25
14,23,9,12,28,7,17
13,32,3,10,31,22,29
26,45,34,14,24,12,41
2,24,15,1,36,19,12
20,16,4,44,28,3,17
20,4,33,43,16,40,7
2,17,24,19,37,41,3
8,31,29,17,2,24,32
30,36,14,28,13,26,37
10,14,16,18,27,28,4
11,33,6,44,17,7,1
5,30,12,43,39,9,24
33,43,40,36,9,42,32
22,43,10,27,42,31,12
4,11,42,45,24,7,30
3,41,26,1,12,21,16
8,34,43,32,16,3,10
7,24,34,22,36,31,15
1,8,42,43,12,3,33
30,35,39,41,9,34,21
42,34,15,5,31,20,22
44,38,30,7,27,29,4
41,16,11,5,7,45,4
12,1,23,43,39,9,34
18,17,6,21,10,29,30
5,11,21,6,14,41,32
35,8,19,12,31,21,44
18,12,34,42,15,28,9
42,33,38,29,11,12,17
8,18,9,28,40,21,20
21,17,34,12,6,37,18
35,37,6,36,41,21,11
24,34,6,12,41,19,4
21,15,45,27,17,19,16
39,19,18,24,11,16,43
45,34,31,38,6,18,20
16,38,17,45,15,14,36
31,24,10,39,23,3,22
25,33,6,15,26,4,40
30,20,24,12,15,16,38
6,5,16,28,27,13,9
2,11,19,39,35,10,29
19,2,12,7,6,45,38
3,27,8,30,41,19,12
10,42,33,2,12,31,32
7,36,29,25,19,2,16
21,35,43,15,38,10,31
6,7,19,30,38,18,13
34,13,26,38,3,10,36
26,21,40,1,41,36,5
32,39,45,5,22,31,36
10,32,2,14,36,22,41
17,34,45,23,42,12,33
1,28,10,12,4,45,26
37,17,25,43,44,28,2
12,18,24,11,42,10,27
26,9,5,14,43,30,2
36,26,13,1,10,32,9
18,32,12,3,31,13,42
37,23,31,38,14,20,27
35,10,34,18,6,25,33
21,31,32,43,41,15,24
11,23,40,17,6,15,39
5,39,13,21,10,43,11
45,19,11,36,8,21,25
14,12,3,1,16,43,10
30,35,11,34,42,44,27
45,38,21,42,28,2,30
36,25,26,17,21,27,4
18,31,12,39,19,29,7
12,3,13,25,9,43,34
15,30,29,14,28,25,3
25,16,33,38,45,40,15
42,30,10,21,22,35,6
1,24,44,13,12,29,16
27,24,18,36,9,20,12
40,39,26,24,18,12,15
7,9,24,29,34,38,26
38,15,21,8,31,33,42
16,24,13,25,33,36,42
11,12,5,44,29,33,14
29,13,39,4,7,31,18
4,31,45,35,43,5,29
18,16,37,5,38,6,17
19,3,39,16,10,31,9
43,13,40,14,26,19,30
42,41,30,12,18,39,19
42,35,43,6,18,8,3
45,28,10,9,13,38,35
28,9,1,14,11,26,19
2,30,28,45,33,25,6
33,38,9,14,36,17,20
13,12,3,11,19,9,35
2,28,43,29,11,4,27
14,33,38,5,30,11,24
26,32,42,36,14,39,38
21,30,34,19,33,42,4
45,8,7,15,13,33,18
29,1,16,33,40,45,6
45,30,41,5,43,18,13
30,16,28,12,26,42,22
16,2,39,38,22,1,34
34,5,13,39,17,29,3
28,24,20,36,39,16,5
18,22,14,26,31,44,40
28,33,17,30,11,35,9
26,2,8,44,23,27,13
25,20,43,36,31,32,3
44,8,17,15,19,43,7
40,10,43,24,41,44,17
6,38,28,10,34,16,43
13,43,32,9,38,39,23
22,38,41,8,35,39,24
25,8,4,32,18,27,42
19,21,22,11,17,25,24
40,10,43,42,34,38,32
43,35,39,16,21,28,12
36,13,3,10,7,25,32
32,3,15,45,33,22,2
39,15,29,34,37,9,12
14,22,17,19,40,24,41
12,43,44,17,41,28,25
20,37,39,6,2,27,4
32,40,30,21,25,42,31
26,12,30,34,6,2,38
43,30,4,32,33,2,29
12,13,39,33,5,3,38
19,23,28,15,1,42,32
22,34,19,44,39,30,36
42,16,26,34,5,21,24
18,23,17,43,5,22,12
16,2,6,11,25,31,3
35,15,4,14,10,1,20
23,24,45,19,7,17,38
32,4,27,18,20,26,9
39,18,45,34,43,44,23
37,18,44,32,33,9,22
4,28,45,37,23,14,17
24,1,39,45,3,27,31
23,28,42,19,45,37,2
36,17,14,27,45,8,10
38,7,34,12,3,31,32
42,3,13,29,38,39,26
4,1,18,14,29,37,6
9,13,31,39,41,28,19
9,17,42,18,4,26,36
15,25,17,1,41,23,10
40,43,37,32,41,19,45
38,39,31,16,41,26,23
26,5,45,12,25,38,23
36,12,26,7,22,6,29
37,21,35,28,42,18,17
20,21,8,39,19,33,37
13,16,18,35,38,7,14
5,23,30,18,34,20,21
19,23,39,36,24,7,30
15,2,21,16,22,28,45
8,6,43,26,45,2,11
4,40,38,16,3,27,20
28,5,31,2,14,32,20
44,27,38,21,29,40,37
3,21,44,16,23,22,30
34,24,35,7,30,29,33
39,17,11,27,35,1,31
4,5,12,14,42,32,35
5,21,22,8,18,38,10
21,16,27,37,14,6,40
44,42,24,16,33,19,27
37,22,13,2,11,6,14
21,36,35,6,22,32,17
27,23,43,24,1,3,34
12,7,11,31,33,38,5
18,42,14,9,17,44,35
3,34,26,43,2,33,29
41,5,22,7,28,12,1
2,6,13,27,43,17,36
41,36,23,18,17,3,26
42,44,3,34,11,43,13
39,24,34,13,42,32,4
25,18,31,16,20,10,6
15,43,41,22,4,38,26
44,20,4,3,10,28,30
9,19,7,15,23,12,4
25,44,21,39,8,38,28
15,35,14,43,25,23,32
37,38,36,15,6,1,5
45,36,31,23,29,27,37
39,36,3,30,1,33,12
32,38,4,44,10,20,18
17,18,29,7,11,13,43
29,2,40,10,13,22,26
31,4,16,10,36,8,9
4,45,39,42,28,11,6
22,24,41,3,20,15,11
39,12,40,14,27,25,35
12,10,43,35,42,18,39
45,13,1,8,44,36,39
33,32,19,13,2,16,42
37,9,30,10,33,15,26
34,19,30,9,18,40,20
27,17,35,20,3,8,26
30,18,13,41,31,38,5
36,21,44,40,35,14,30
22,4,28,3,15,40,10
2,12,39,30,31,43,38
41,24,33,12,4,22,38
37,7,27,22,42,9,34
26,41,30,28,1,9,32
23,26,33,29,4,9,8
11,25,41,20,10,21,40
4,40,24,15,36,35,1
2,16,35,37,10,9,1
1,14,40,41,24,15,35
30,2,32,45,24,18,14
11,29,33,42,31,20,43
34,28,43,1,31,18,40
19,42,6,34,23,12,35
39,6,21,38,43,36,30
2,29,25,28,13,36,34
21,37,25,34,29,1,36
6,37,13,1,38,40,9
39,24,2,12,5,14,33
45,9,29,40,3,10,7
21,28,11,36,16,9,5
17,2,21,26,18,6,7
37,17,39,23,3,6,26
26,22,41,42,31,37,24
2,16,44,11,1,39,32
9,17,8,22,24,7,5
25,35,14,12,4,37,2
44,22,14,9,2,10,16
7,15,34,1,32,42,8
33,7,11,16,27,21,24
16,23,3,13,35,24,14
27,45,43,41,37,36,32
44,7,21,5,13,20,33
31,13,35,23,26,43,15
37,36,10,35,23,3,18
23,21,44,34,30,17,19
10,7,42,28,41,16,40
23,29,2,38,15,4,7
13,31,41,2,30,20,27
21,18,27,29,17,33,26
36,26,37,4,25,2,28
18,13,25,33,31,44,38
20,33,45,26,12,44,24
6,24,14,42,18,16,44
24,27,1,35,3,8,28
29,13,4,39,1,38,7
6,11,24,15,32,39,28
16,7,4,44,24,14,20
18,45,13,20,17,42,41
9,1,28,3,18,14,34
19,2,8,22,42,32,39
12,14,10,20,6,42,15
25,38,45,35,33,17,15
39,1,45,43,4,29,31
37,30,15,7,44,39,18
18,29,13,8,24,27,17
37,17,8,15,16,11,36
11,21,16,25,8,19,40
11,31,30,44,41,9,33
29,44,34,23,40,15,20
9,36,15,12,25,34,3
1,35,12,38,9,26,42
35,45,18,20,5,11,3
36,21,22,41,34,26,32
26,3,11,27,18,14,21
37,31,14,23,33,40,44
15,42,34,41,26,28,44
34,22,12,23,18,30,32
45,21,37,25,19,3,35
17,39,1,4,13,34,6
29,12,45,41,27,38,6
12,45,15,24,17,29,16
45,5,11,42,6,29,28
14,16,29,10,35,18,25
22,20,9,38,18,44,10
9,20,29,33,25,8,7
32,13,41,31,12,5,34
35,45,16,14,39,27,5
18,13,7,12,35,5,23
37,32,12,41,30,39,24
5,17,11,29,24,2,9
22,32,6,7,35,36,19
6,36,12,19,1,42,28
20,44,15,35,3,11,10
33,38,40,26,32,31,11
9,14,42,35,34,41,2
22,32,34,2,45,5,39
22,33,14,15,2,27,31
16,27,44,24,37,7,2
19,6,39,36,2,3,26
36,26,31,8,16,29,11
7,11,9,18,6,17,45
43,14,34,23,5,15,4
12,3,5,22,26,31,19
28,26,36,12,17,20,4
19,21,14,6,15,41,37
35,7,29,25,36,16,28
2,33,40,20,44,42,32
6,12,17,21,39,32,30
13,3,5,37,20,21,17
12,6,38,43,31,35,17
26,33,21,32,35,30,44
5,27,17,26,38,35,1
45,30,26,22,34,29,15
27,19,30,14,28,45,33
22,7,33,14,12,4,31
24,32,13,45,20,36,29
45,8,19,40,27,13,12
32,11,23,40,30,25,42
34,25,7,10,40,22,27
38,45,10,3,33,24,36
37,4,45,24,35,27,15
41,31,32,45,20,40,12
24,3,23,6,22,38,30
18,6,35,3,9,22,14
23,3,32,19,18,45,24
16,32,6,21,11,19,45
28,7,10,23,33,19,18
4,19,35,26,7,33,3
31,28,1,18,22,10,44
30,6,41,22,14,3,36
2,30,21,11,35,1,39
23,32,20,18,43,16,27
38,30,18,28,6,32,15
27,1,28,41,20,6,15
35,24,45,44,23,1,10
33,9,7,37,36,3,10
43,40,4,8,30,17,34
36,6,38,10,11,14,43
18,45,37,8,4,24,6
16,23,13,36,44,31,38
38,9,16,24,23,1,17
21,42,27,34,26,32,31
7,22,3,14,38,15,17
29,42,33,8,12,13,5
4,7,17,38,44,18,36
16,27,35,25,36,11,37
34,14,21,18,44,13,16
21,39,30,22,44,11,31
4,31,42,43,37,18,40
29,40,19,12,21,45,1
24,30,23,28,6,20,44
45,26,7,19,33,18,37
17,43,10,30,35,22,44
15,7,6,26,22,40,41
40,34,14,8,29,28,12
43,1,23,19,16,12,34
34,37,40,33,35,14,4
24,16,41,43,21,12,15
20,3,38,40,43,28,4
31,29,26,17,30,43,12
7,6,42,36,13,28,41
26,13,38,37,22,14,20
40,31,12,44,29,10,2
38,30,21,7,1,35,2
39,16,34,40,37,6,11
4,29,1,45,3,42,36
30,41,40,6,14,31,29
7,39,19,37,26,44,27
13,19,12,33,40,10,2
11,20,7,22,3,41,24
30,13,43,33,3,45,4
16,26,20,44,36,42,24
20,32,44,13,21,11,8
16,33,10,38,19,32,3
7,23,12,32,34,36,8
17,30,25,16,31,15,32
4,30,36,33,3,9,7
16,11,14,13,15,45,3
13,9,45,12,20,1,3
41,38,2,26,31,19,34
32,44,38,24,6,31,8
6,30,35,34,21,3,22
21,34,19,35,24,13,26
30,17,34,8,33,3,28
33,6,14,40,25,44,30
11,9,4,40,37,5,7
37,10,15,31,24,30,32
33,28,16,5,1,8,45
17,28,10,5,34,11,22
28,25,19,21,27,15,40
27,14,6,2,38,1,33
41,34,6,7,28,19,5
13,34,29,20,28,14,23
19,7,3,9,13,24,23
1,21,33,19,13,6,4
44,33,42,38,21,35,1
33,45,15,4,9,12,26
19,20,14,34,16,29,35
15,37,12,5,40,30,18
38,29,10,22,31,7,15
21,26,35,12,7,11,20
37,41,30,2,28,8,22
36,17,27,16,10,28,6
34,12,4,26,3,15,6
31,33,2,11,44,37,32
6,19,17,11,40,43,28
7,37,11,26,24,27,32
16,22,13,15,6,3,32
21,15,8,32,36,19,38
45,18,39,35,9,8,25
27,29,9,3,15,2,8
31,36,35,37,32,30,5
35,9,44,13,1,10,5
22,38,32,8,4,26,27
19,10,37,27,38,16,13
45,39,34,41,30,31,7
5,7,20,26,25,12,28
38,21,27,25,32,37,20
3,28,39,9,38,27,7
39,7,36,13,45,18,19
2,12,34,24,20,42,37
29,28,21,25,22,20,6
13,2,33,16,15,43,4
25,18,39,23,17,38,22
38,29,45,7,6,27,17
14,42,25,29,23,27,16
35,40,8,31,39,23,24
33,9,24,37,21,30,29
39,26,24,12,42,5,20
3,38,13,28,34,42,25
7,3,12,6,17,11,19
44,42,40,9,24,7,45
30,35,20,1,18,5,3
8,17,39,14,36,11,22
42,8,4,3,6,32,31
30,11,35,9,7,21,29
3,43,7,15,19,16,21
43,5,27,44,6,11,17
44,18,16,24,40,3,21
37,40,18,6,12,41,3
8,14,20,41,10,33,28
31,21,13,25,28,1,22
36,4,15,23,17,27,31
